epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1983.83,0.3349,0.21515,0.80473,0.99627,0.99616,0.99392,0.97739,0.24142,0.16016,0.80744,0.002179,0.002179,0.002179
81,2008.56,0.3281,0.2123,0.80371,0.99564,0.99626,0.99354,0.97671,0.24385,0.1639,0.80917,0.00208,0.00208,0.00208
82,2033.28,0.32737,0.21032,0.80157,0.99625,0.99602,0.99407,0.97651,0.24779,0.16316,0.80687,0.001981,0.001981,0.001981
83,2057.92,0.3127,0.2025,0.79956,0.99607,0.99623,0.99345,0.9787,0.24017,0.15455,0.80661,0.001882,0.001882,0.001882
84,2082.66,0.31898,0.20485,0.80134,0.99585,0.99635,0.99407,0.98022,0.23354,0.15347,0.80627,0.001783,0.001783,0.001783
85,2107.39,0.30715,0.20006,0.79899,0.99611,0.99605,0.99405,0.98146,0.23305,0.15285,0.80558,0.001684,0.001684,0.001684
86,2132.07,0.30948,0.20148,0.80042,0.9962,0.99611,0.99416,0.98253,0.22105,0.15043,0.80291,0.001585,0.001585,0.001585
87,2156.75,0.30544,0.19947,0.79938,0.99628,0.99605,0.9939,0.98233,0.22654,0.15211,0.80518,0.001486,0.001486,0.001486
88,2181.43,0.30518,0.19885,0.79876,0.99644,0.99603,0.99429,0.98359,0.21371,0.15013,0.80224,0.001387,0.001387,0.001387
89,2205.88,0.29691,0.19588,0.79596,0.99631,0.996,0.99392,0.98179,0.22376,0.15145,0.80369,0.001288,0.001288,0.001288
90,2230.78,0.29021,0.19103,0.7946,0.99615,0.99613,0.99384,0.98495,0.20966,0.14483,0.80188,0.001189,0.001189,0.001189
91,2253.26,0.28216,0.18373,0.79098,0.99612,0.99631,0.99427,0.98005,0.23118,0.1533,0.80564,0.00109,0.00109,0.00109
92,2275.71,0.26915,0.17816,0.78664,0.99587,0.99626,0.99391,0.98299,0.22067,0.14864,0.80268,0.000991,0.000991,0.000991
93,2298.22,0.26484,0.17314,0.78776,0.99613,0.99621,0.99428,0.98505,0.21423,0.1453,0.80064,0.000892,0.000892,0.000892
94,2320.61,0.25847,0.16852,0.78627,0.99639,0.99626,0.99424,0.98669,0.20204,0.13942,0.80058,0.000793,0.000793,0.000793
95,2342.98,0.24902,0.16434,0.78458,0.99658,0.99594,0.99427,0.98689,0.19952,0.13965,0.79932,0.000694,0.000694,0.000694
96,2365.49,0.24886,0.16423,0.78446,0.99665,0.99601,0.99402,0.98758,0.1982,0.13782,0.79769,0.000595,0.000595,0.000595
97,2387.96,0.24035,0.15958,0.7827,0.99655,0.99573,0.99437,0.98835,0.19043,0.13516,0.79807,0.000496,0.000496,0.000496
98,2410.31,0.23686,0.16147,0.78391,0.99643,0.9957,0.99431,0.98822,0.18882,0.13399,0.79864,0.000397,0.000397,0.000397
99,2432.85,0.23383,0.15772,0.78274,0.99647,0.99601,0.99412,0.989,0.18757,0.13252,0.7979,0.000298,0.000298,0.000298
100,2455.94,0.22549,0.15355,0.78126,0.99668,0.99595,0.99403,0.98946,0.18208,0.13329,0.79579,0.000199,0.000199,0.000199
